Car Name,PassengerCapacity,Car Type,Transmission,Price,Location,pickupDate,Luggage,Range or Mileage,Website
 Toyota RAV4 ,5,Midsize SUV,A,54.24 CAD,Windsor - Windsor Walker Road HLE,2024-11-21,4,8.3 l/100km,https://www.hertz.com/rentacar,
 Dodge Grand Caravan ,7,Minivan,A,55.37 CAD,Windsor - Windsor Walker Road HLE,2024-11-21,5,9.1 l/100km,https://www.hertz.com/rentacar,
 Ford Edge ,5,5 Passengers Standard SUV,A,55.37 CAD,Windsor - Windsor Walker Road HLE,2024-11-21,4,9.1 l/100km,https://www.hertz.com/rentacar,
 Dodge Ram 1500 ,5,Standard Pick up,A,32.28 CAD,Windsor - Windsor Walker Road HLE,2024-11-21,9,11.1 l/100km,https://www.hertz.com/rentacar,
 Chevrolet Spark ,4,Economy,A,35.74 CAD,Windsor - Windsor Walker Road HLE,2024-11-21,2,6.7 l/100km,https://www.hertz.com/rentacar,
 Kia Rio ,5,Compact,A,35.74 CAD,Windsor - Windsor Walker Road HLE,2024-11-21,3,6.2 l/100km,https://www.hertz.com/rentacar,
 Volkswagen Jetta ,5,Standard,A,43.00 CAD,Windsor - Windsor Walker Road HLE,2024-11-21,3,6.2 l/100km,https://www.hertz.com/rentacar,
 Tesla Model 3 LR ,5,Tesla Model 3 LR,A,Call to Book,Windsor - Windsor Walker Road HLE,2024-11-21,4,576 km range,https://www.hertz.com/rentacar,
 Tesla Model 3 SR ,5,Tesla Model 3 SR,A,Call to Book,Windsor - Windsor Walker Road HLE,2024-11-21,4,488 km range,https://www.hertz.com/rentacar,
 Nissan Kicks ,5,Compact SUV,A,Call to Book,Windsor - Windsor Walker Road HLE,2024-11-21,3,7.7 l/100km,https://www.hertz.com/rentacar,
 Ford Transit 250 ,2,Commercial Van/Truck Medium Roof,A,Call to Book,Windsor - Windsor Walker Road HLE,2024-11-21,11,14.3 l/100km,https://www.hertz.com/rentacar,
