Car Name,PassengerCapacity,Car Type,Transmission,Price,Location,pickupDate,Luggage,Range or Mileage,Website,,,,,,
 Volkswagen Jetta ,5,Standard,A,42.73 CAD,"Calgary International Airport",2024-11-19,3,6.2 l/100km,https://www.hertz.com/rentacar
 Dodge Charger ,5,Premium,A,48.13 CAD,"Calgary International Airport",2024-11-19,4,10.0 l/100km,https://www.hertz.com/rentacar
 Compact or Larger ,5,Economy,A,49.67 CAD,"Calgary International Airport",2024-11-19,3,NA,https://www.hertz.com/rentacar
 Dodge Ram 1500 ,5,Standard Pick up,A,50.28 CAD,"Calgary International Airport",2024-11-19,9,11.1 l/100km,https://www.hertz.com/rentacar
 Chevrolet Spark ,4,Economy,A,42.94 CAD,"Calgary International Airport",2024-11-19,2,6.7 l/100km,https://www.hertz.com/rentacar
 Tesla Model 3 SR ,5,Tesla Model 3 SR,A,69.27 CAD,"Calgary International Airport",2024-11-19,4,488 km range,https://www.hertz.com/rentacar
 Chrysler 300 ,5,Luxury,A,49.93 CAD,"Calgary International Airport",2024-11-19,4,10.0 l/100km,https://www.hertz.com/rentacar
 Tesla Model Y ,5,Tesla Model Y,A,91.05 CAD,"Calgary International Airport",2024-11-19,5,488 km range,https://www.hertz.com/rentacar
 Nissan Murano ,5,Standard,A,91.64 CAD,"Calgary International Airport",2024-11-19,4,NA,https://www.hertz.com/rentacar
 Dodge Durango ,7,Large SUV,A,91.05 CAD,"Calgary International Airport",2024-11-19,5,10.0 l/100km,https://www.hertz.com/rentacar
 GMC Yukon XL 4WD ,7,Premium SUV,A,111.69 CAD,"Calgary International Airport",2024-11-19,5,11.1 l/100km,https://www.hertz.com/rentacar
